Leg	Site	H	MCD Top	MCD Bot
198	1209	A	  0.000	  3.060
198	1209	B	  3.060	  7.060
198	1209	A	  7.060	 14.490
198	1209	B	 14.490	 16.530
198	1209	A	 16.530	 24.270
198	1209	B	 24.270	 29.340
198	1209	A	 29.340	 33.960
198	1209	B	 33.960	 38.610
198	1209	A	 38.610	 44.280
198	1209	B	 44.280	 49.230
198	1209	A	 49.230	 57.120
198	1209	B	 57.120	 60.330
198	1209	A	 60.330	 65.850
198	1209	B	 65.850	 70.260
198	1209	A	 70.260	 78.150
198	1209	B	 78.150	 80.700
198	1209	A	 80.700	 88.500
198	1209	B	 88.500	 91.680
198	1209	A	 91.680	 97.440
198	1209	B	 97.440	102.090
198	1209	A	102.090	107.210
198	1209	B	107.210	112.280
198	1209	C	112.280	118.310
198	1209	A	118.310	124.870
198	1209	C	124.870	129.420
198	1209	A	129.420	136.980
198	1209	C	136.980	140.310
198	1209	B	140.310	140.640
198	1209	A	140.640	147.360
198	1209	B	147.360	148.260
198	1209	A	148.260	151.210
198	1209	C	151.210	159.110
198	1209	A	159.110	162.900
198	1209	B	162.900	170.160
198	1209	A	170.160	174.870
198	1209	B	174.870	179.740
198	1209	A	179.740	184.840
198	1209	B	184.840	190.570
198	1209	A	190.570	195.280
198	1209	C	195.280	199.870
198	1209	C	199.870	208.060
198	1209	A	208.060	215.340
198	1209	C	215.340	219.840
198	1209	A	219.840	226.960
198	1209	C	226.960	231.390
198	1209	A	231.390	238.110
198	1209	C	238.110	241.800
198	1209	A	241.800	246.990
198	1209	C	246.990	251.480
198	1209	 	251.480	257.300
