Leg	Site	Sort Key	Hole Start	Core Start	CT	Sec. Start	Int. Start	MBSF Start	MCD Start	Relation	Hole End	Core End	CT	Sec. End	Int. End	MBSF End	MCD End
198	1209	       1	         B	         1	 H	         2	     144.0	     2.940	    3.060	     tie	       A	       1	 H	       3	     6.0	   3.060	  3.060
198	1209	       2	         A	         1	 H	         6	       6.0	     7.060	    7.060	     tie	       B	       2	 H	       2	    51.0	   7.120	  7.060
198	1209	       3	         B	         2	 H	         7	      45.0	    14.550	   14.490	     tie	       A	       2	 H	       5	    21.0	  14.410	 14.490
198	1209	       4	         A	         2	 H	         6	      75.0	    16.450	   16.530	     tie	       B	       3	 H	       1	   132.0	  15.920	 16.530
198	1209	       5	         B	         3	 H	         7	       6.0	    23.660	   24.270	     tie	       A	       3	 H	       3	    51.0	  21.210	 24.270
198	1209	       6	         A	         3	 H	         6	     108.0	    26.280	   29.340	     tie	       B	       4	 H	       3	    75.0	  27.850	 29.340
198	1209	       7	         B	         4	 H	         6	      87.0	    32.470	   33.960	     tie	       A	       4	 H	       3	     9.0	  30.290	 33.960
198	1209	       8	         A	         4	 H	         6	      24.0	    34.940	   38.610	     tie	       B	       5	 H	       1	   129.0	  34.890	 38.610
198	1209	       9	         B	         5	 H	         5	      96.0	    40.560	   44.280	     tie	       A	       5	 H	       3	    72.0	  40.420	 44.280
198	1209	      10	         A	         5	 H	         6	     117.0	    45.370	   49.230	     tie	       B	       6	 H	       1	    21.0	  43.310	 49.230
198	1209	      11	         B	         6	 H	         6	      60.0	    51.200	   57.120	     tie	       A	       6	 H	       5	    21.0	  52.410	 57.120
198	1209	      12	         A	         6	 H	         7	      42.0	    55.620	   60.330	     tie	       B	       7	 H	       2	    12.0	  54.220	 60.330
198	1209	      13	         B	         7	 H	         5	     114.0	    59.740	   65.850	     tie	       A	       7	 H	       3	   114.0	  59.840	 65.850
198	1209	      14	         A	         7	 H	         6	     105.0	    64.250	   70.260	     tie	       B	       8	 H	       2	     9.0	  63.690	 70.260
198	1209	      15	         B	         8	 H	         7	      48.0	    71.580	   78.150	     tie	       A	       8	 H	       5	    36.0	  71.560	 78.150
198	1209	      16	         A	         8	 H	         6	     141.0	    74.110	   80.700	     tie	       B	       9	 H	       1	   147.0	  73.070	 80.700
198	1209	      17	         B	         9	 H	         7	      27.0	    80.870	   88.500	     tie	       A	       9	 H	       5	    18.0	  80.880	 88.500
198	1209	      18	         A	         9	 H	         7	      36.0	    84.060	   91.680	     tie	       B	      10	 H	       2	   135.0	  83.950	 91.680
198	1209	      19	         B	        10	 H	         6	     111.0	    89.710	   97.440	     tie	       A	      10	 H	       4	    45.0	  89.150	 97.440
198	1209	      20	         A	        10	 H	         7	      60.0	    93.800	  102.090	     tie	       B	      11	 H	       1	   135.0	  91.960	102.090
198	1209	      21	         B	        11	 H	         5	      48.0	    97.080	  107.210	     tie	       A	      11	 H	       3	    33.0	  97.030	107.210
198	1209	      22	         A	        11	 H	         6	      90.0	   102.100	  112.280	     tie	       B	      12	 H	       1	   132.0	 101.420	112.280
198	1209	      23	         B	        12	 H	         5	     135.0	   107.450	  118.310	     tie	       C	       2	 H	       1	    99.0	 108.500	118.310
198	1209	      24	         C	         2	 H	         6	       6.0	   115.060	  124.870	     tie	       A	      13	 H	       2	    25.0	 114.450	124.870
198	1209	      25	         A	        13	 H	         5	      30.0	   119.000	  129.420	     tie	       C	       3	 H	       1	   108.0	 118.080	129.420
198	1209	      26	         C	         3	 H	         6	     114.0	   125.640	  136.980	     tie	       A	      14	 H	       4	     8.5	 126.790	136.980
198	1209	      27	         A	        14	 H	         6	      42.0	   130.120	  140.310	     tie	       C	       4	 H	       3	    36.0	 129.860	140.310
198	1209	      28	         C	         4	 H	         3	      69.0	   130.190	  140.640	     tie	       B	      15	 H	       1	   108.0	 129.680	140.640
198	1209	      29	         B	        15	 H	         6	      30.0	   136.400	  147.360	     tie	       A	      15	 H	       5	   135.0	 139.050	147.360
198	1209	      30	         A	        15	 H	         6	      75.0	   139.950	  148.260	     tie	       B	      16	 H	       1	    76.5	 138.870	148.260
198	1209	      31	         B	        16	 H	         3	      72.0	   141.820	  151.210	     tie	       A	      16	 H	       1	    43.5	 141.640	151.210
198	1209	      32	         A	        16	 H	         7	      55.0	   149.540	  159.110	     tie	       C	       6	 H	       3	    87.0	 149.380	159.110
198	1209	      33	         C	         6	 H	         6	      87.0	   153.170	  162.900	     tie	       A	      17	 H	       1	    96.0	 151.660	162.900
198	1209	      34	         A	        17	 H	         6	      72.0	   158.920	  170.160	     tie	       B	      18	 H	       1	   144.0	 158.540	170.160
198	1209	      35	         B	        18	 H	         5	      15.0	   163.250	  174.870	     tie	       A	      18	 H	       3	    69.0	 163.890	174.870
198	1209	      36	         A	        18	 H	         7	      27.0	   168.760	  179.740	     tie	       B	      19	 H	       1	   108.0	 167.680	179.740
198	1209	      37	         B	        19	 H	         5	      18.0	   172.780	  184.840	     tie	       A	      19	 H	       2	   111.0	 172.310	184.840
198	1209	      38	         A	        19	 H	         6	      84.0	   178.040	  190.570	     tie	       B	      20	 H	       2	   102.0	 178.620	190.570
198	1209	      39	         B	        20	 H	         5	     123.0	   183.330	  195.280	     tie	       A	      20	 H	       3	    93.0	 183.130	195.280
198	1209	      40	         A	        20	 H	         6	     102.0	   187.720	  199.870	     tie	       C	      10	 H	       1	   108.0	 184.580	199.870
198	1209	      41	         C	        10	 H	         7	      27.0	   192.770	  208.060	     tie	       C	      11	 H	       1	   114.0	 194.150	208.060
198	1209	      42	         C	        11	 H	         6	      93.0	   201.430	  215.340	     tie	       A	      22	 H	       2	   144.0	 201.140	215.340
198	1209	      43	         A	        22	 H	         5	     144.0	   205.640	  219.840	     tie	       C	      12	 H	       2	    27.0	 204.270	219.840
198	1209	      44	         C	        12	 H	         7	      39.0	   211.390	  226.960	     tie	       A	      23	 H	       3	    60.0	 211.310	226.960
198	1209	      45	         A	        23	 H	         6	      54.0	   215.740	  231.390	     tie	       C	      13	 H	       2	   105.0	 214.550	231.390
198	1209	      46	         C	        13	 H	         7	      27.0	   221.270	  238.110	     tie	       A	      24	 H	       4	   138.0	 223.080	238.110
198	1209	      47	         A	        24	 H	         7	      57.0	   226.770	  241.800	     tie	       C	      14	 H	       3	   114.0	 225.640	241.800
198	1209	      48	         C	        14	 H	         7	      33.0	   230.830	  246.990	     tie	       A	      25	 H	       3	    99.5	 230.710	246.990
198	1209	      49	         A	        25	 H	         6	     100.0	   235.200	  251.480	     tie	       C	      15	 H	       3	    84.0	 234.850	251.480
198	1209	      50	         C	        15	 H	         7	     117.0	   240.670	  257.300	         	        	        	  	      CC
