Leg	Site	Sort Key	Hole Start	Core Start	CT	Sec. Start	Int. Start	MBSF Start	MCD Start	Relation	Hole End	Core End	CT	Sec. End	Int. End	MBSF End	MCD End
208	1267	      48	         A	        24	 H	         5	      75.0	   224.650	  252.240	     tie	       B	      25	 H	       1	    68.5	 222.290	252.240
208	1267	      49	         B	        25	 H	         6	      15.0	   229.250	  259.200	     tie	       A	      25	 H	       2	    36.0	 228.470	259.200
208	1267	      50	         A	        25	 H	         7	      55.0	   236.150	  266.880	     tie	       B	      26	 X	       4	    61.0	 236.210	266.880
208	1267	      51	         B	        26	 X	         4	      75.0	   236.350	  267.020	  append	       A	      26	 X	       1	     0.0	 236.100	267.830
208	1267	      52	         A	        26	 X	         4	      87.5	   241.480	  273.210	     tie	       B	      27	 X	       3	    44.5	 237.860	273.210
208	1267	      53	         B	        27	 X	         7	      27.5	   242.860	  278.210	     tie	       A	      27	 X	       1	     7.5	 244.980	278.210
208	1267	      54	         A	        27	 X	         5	      70.0	   251.600	  284.830	     tie	       B	      28	 X	       4	    98.5	 249.490	284.830
208	1267	      55	         B	        28	 X	         6	      70.0	   252.200	  287.540	     tie	       A	      28	 X	       1	    23.5	 254.740	287.540
208	1267	      56	         A	        28	 X	         4	      47.5	   259.480	  292.280	     tie	       B	      29	 X	       3	   106.0	 257.670	292.280
208	1267	      57	         B	        29	 X	         6	      82.5	   261.920	  296.530	     tie	       A	      29	 X	       1	     8.5	 264.190	296.530
208	1267	      58	         A	        29	 X	         5	     135.0	   271.450	  303.790	     tie	       B	      30	 X	       5	    73.0	 270.050	303.790
208	1267	      59	         B	        30	 X	        CC	      30.0	   273.110	  306.850	  append	       A	      30	 X	       1	     0.0	 273.700	306.710
208	1267	      60	         A	        30	 X	         4	       5.0	   278.250	  311.260	     tie	       B	      31	 X	       3	    11.0	 276.010	311.260
208	1267	      61	         B	        31	 X	        CC	      40.0	   280.550	  315.800	  append	       B	      32	 X	       1	     0.0	 281.000	315.600
208	1267	      62	         B	        32	 X	         4	     115.0	   286.250	  320.850	     tie	       A	      31	 X	       3	   115.0	 286.450	320.850
208	1267	      63	         A	        31	 X	        CC	      17.5	   292.820	  327.210	  append	       B	      33	 X	       1	     0.0	 290.600	327.240
208	1267	      64	         B	        33	 X	        CC	      30.0	   300.360	  337.000	  append	       B	      34	 X	       1	     0.0	 300.200	337.020
208	1267	      65	         B	        34	 X	         5	      37.5	   306.580	  343.400	     tie	       A	      33	 X	       3	    95.0	 306.450	343.400
208	1267	      66	         A	        33	 X	         7	      75.0	   311.750	  348.700	     tie	       B	      35	 X	       1	    15.0	 309.950	348.700
208	1267	      67	         B	        35	 X	        CC	      27.5	   319.570	  358.320	  append	       B	      36	 X	       1	     0.0	 319.400	358.150
208	1267	      68	         B	        36	 X	        CC	      37.5	   329.200	  367.950	         	        	        	  	      CC
