Songliao Basin geochemical records,,,,,,
Depth (m),TOC,TN,TOC/12,TN/14,C/N,¦Ä13Corg
1660,1.43,0.13,0.118780224,0.009587659,12.38886661,-26.064
1661,3.01,0.26,0.250852756,0.01861465,13.47609299,-25.637
1662,3.03,0.24,0.252501843,0.017175574,14.70121744,-25.109
1663,2.98,0.26,0.24845679,0.018657829,13.31649017,-24.886
1664,2.09,0.27,0.173933931,0.019592055,8.877778878,-26.421
1665,2.28,0.25,0.189930022,0.017920286,10.5986045,-27.041
1666,0.8,0.19,0.066781347,0.013573532,4.919968234,-28.178
1667,2.42,0.22,0.201899923,0.015995445,12.62233867,-27.924
1668,2.16,0.32,0.179585063,0.022794021,7.878603808,-28.087
1669,2.52,0.32,0.209835027,0.022890576,9.16687395,-28.754
1670,2.3,0.26,0.191552716,0.018299111,10.46787034,-29.339
1671,3.44,0.28,0.286402229,0.020097322,14.25076563,-29.608
1672,3.89,0.26,0.324557131,0.018547195,17.49898748,-29.608
1673,3.37,0.24,0.28112177,0.017264058,16.2836433,-29.028
1674,2.45,0.23,0.204078799,0.016276951,12.53790067,-28.801
1675,2.77,0.3,0.230848485,0.021449644,10.76234562,-29.489
1676,3.17,0.25,0.264260239,0.017947177,14.72433493,-27.98
1677,2.57,0.27,0.214539513,0.019373787,11.07370041,-28.775
1678,4.25,0.28,0.354421067,0.020327408,17.43562499,-29.899
1679,1.42,0.31,0.118674248,0.022376468,5.303529035,-29.207
1680,1.71,0.24,0.142089382,0.016861764,8.426720852,-28.924
1681,1.83,0.26,0.152836826,0.018734063,8.158231538,-30.145
1682,2.14,0.26,0.17873104,0.018292606,9.770671114,-30.243
1683,1.34,0.25,0.111761777,0.017960507,6.222640566,-29.893
1684,3.07,0.29,0.255994575,0.020743879,12.34072827,-30.214
1685,2.12,0.32,0.176533419,0.022976855,7.683097753,-29.9
1686,2.19,0.26,0.182619098,0.0182892,9.985078804,-29.994
1687,2.53,0.26,0.210737179,0.018215559,11.56907553,-29.272
1688,2.02,0.33,0.168089507,0.023379394,7.189643446,-29.137
1689,2.8,0.3,0.233615728,0.021299435,10.96816531,-29.052
1690,2.74,0.25,0.227955146,0.018016399,12.65264755,-28.828
1691,2.15,0.27,0.178925919,0.019018675,9.407906883,-28.539
1692,1.68,0.31,0.140377855,0.022112518,6.34834323,-28.275
1693,2.11,0.31,0.176244989,0.022211469,7.934864268,-28.347
1694,2.44,0.22,0.203250408,0.01558981,13.03738804,-28.887
1695,1.97,0.23,0.164142852,0.016205817,10.12863793,-28.439
1696,2.94,0.29,0.245402416,0.020663732,11.87599683,-28.787
1697,2.68,0.32,0.223390955,0.022907787,9.751747604,-28.398
1698,3.11,0.26,0.258965058,0.018662462,13.87625336,-29.265
1699,3.99,0.27,0.332363636,0.01948607,17.05647353,-29.544
1700,2.47,0.33,0.206132134,0.02333153,8.834917091,-29.031
1701,2.77,0.32,0.230991987,0.022981486,10.05122065,-29.928
1702,3.58,0.28,0.298495646,0.02020085,14.77639021,-29.473
1703,3.89,0.28,0.324015491,0.019772367,16.38728861,-28.999
1704,2.61,0.27,0.217798753,0.019640459,11.08929051,-29.432
1705,2.62,0.36,0.218073924,0.025463051,8.564327985,-29.445
1706,3.76,0.25,0.313058677,0.017583955,17.80365578,-29.229
1707,1.86,0.15,0.155108695,0.010680304,14.52287261,-29.324
1708,2.96,0.36,0.246886859,0.02600015,9.495593482,-28.138
1709,2.7,0.35,0.224982133,0.024779973,9.079192125,-28.142
1710,2.51,0.31,0.209142293,0.022265005,9.393319026,-28.069
1711,3.27,0.32,0.272361111,0.0227463,11.97386452,-27.803
1712,2.93,0.33,0.243829764,0.023494787,10.3780369,-27.66
1713,2.44,0.35,0.203192155,0.024956194,8.141952951,-28.216
1714,2.11,0.32,0.175834378,0.022829444,7.702087715,-29.291
1715,4.94,0.31,0.411533774,0.022074843,18.6426595,-29.159
1716,4.09,0.33,0.341078599,0.023466747,14.53454943,-29.283
1717,2.76,0.34,0.230020278,0.024363872,9.441039319,-29.613
1718,2.88,0.31,0.239815213,0.022308745,10.74982973,-29.567
1719,3.74,0.29,0.311411758,0.020777046,14.98825963,-28.506
1720,2.75,0.3,0.228831589,0.021529865,10.62856592,-29.14
1721,2.84,0.32,0.236451423,0.022616087,10.4550103,-29.298
1722,2.48,0.36,0.207062158,0.026020252,7.957730625,-29.042
1723,3.77,0.3,0.313765432,0.021544702,14.5634612,-29.493
1724,3.39,0.35,0.282821217,0.024661863,11.46795839,-29.746
