Table S8. Proposed position of short eccentricity cycle maxima in the depth domain of studied records. Eccentricity cycle numbers are relative to the K/Pg boundary (Paleocene) and to onset of the CIE at the PETM (Eocene).(For explanation see text),
E100 number for absolute age with respect to La2004 Cycle number Site 1262 Site 1267 Site 1209 Site 1210 Site 1211 Site 1051 Site 1050 Site 1001 Zumaiaabsolute age La2004,EVENT
E100 647 E100 651 Paleocene100 36 196.78 300.62 249.15 235.2 142.52 342.38 329.48 ~36.60 61952 62320,
"#",
E100 646 E100 650 Paleocene100 37 248.6 234.79 142.26 338.33 328.76 ~37.75 61864 62240,
"#",
E100 645 E100 649 Paleocene100 38 195.37 299.33 248.12 234.39 142.02 334.34 327.92 ~39.20 61764 62144,Chron 27n event
"#",
E100 644 E100 648 Paleocene100 39 194.51 298.37 247.746 234 141.71 329.99 ~40.50 61660 62040,
Table S8. Proposed position of short eccentricity cycle maxima in the depth domain of studied records. Eccentricity cycle numbers are relative to the K/Pg boundary (Paleocene) and to onset of the CIE at the PETM (Eocene).(For explanation see text),
E100 number for absolute age with respect to La2004 Cycle number Site 1262 Site 1267 Site 1209 Site 1210 Site 1211 Site 1051 Site 1050 Site 1001 Zumaiaabsolute age La2004,EVENT
Solution_1 Solution_2 short Eccentricity depth mcd depth rmcd depth rmcd depth rmcd depth rmcd depth rmcd depth rmcd depth rmcd depth in m Solution_1 Solution_2,EVENT
"#",
E ?~41.40100  643 E 100  647 Paleocene 100  40 193.74 247.17 233.52 141.28 61564 61952,
"#",
E ~42.10100  642 E 100  646 Paleocene 100  41 192.94 246.63 233.04 61484 61864,
"#",
E ~43.75100  641 E 100  645 Paleocene 100  42 192.07 296.25 missing 232.53 140.33 61384 61764,
"#",
E ~44.90100  640 E 100  644 Paleocene 100  43 191.25 295.79 245.35 231.89 139.99 61280 61660,
"#",
E ~45.90100  639 E 100  643 Paleocene 100  44 190.25 295.21 problematic 231.6 condensed 61176 61564,
"#",
E100 638 E100 642 Paleocene100 45 189.58 294.80 problematic condensed condensed ~47.60 61116 61484,
"#",
E100 637 E100 641 Paleocene100 46 188.90 294.16 problematic condensed condensed ~48.90 61012 61384,
"#",
E100 636 E100 640 Paleocene100 47 188.04 293.11 243.66 230.35 139? ~50.00 60908 61280,
"#",
E100 635 E100 639 Paleocene100 48 243.05 229.75 condensed ~51.10 60804 61176,
"#",
E100 634 E100 638 Paleocene100 49 186.97 291.90 condensed condensed condensed ~52.40 60720 61116,
E100 633 E100 637 Paleocene100 50 186.23 290.90 condensed condensed condensed 60624 61012,
E100 632 E100 636 Paleocene100 51 185.52 289.92 condensed condensed condensed 60520 60908,
E100 631 E100 635 Paleocene100 52 184.46 288.65 condensed condensed condensed 60416 60804,
E100 630 E100 634 Paleocene100 53 183.55 287.56 condensed condensed condensed 60324 60720,
E100 629 E100 633 Paleocene100 54 182.68 286.54 241.25 228.25 condensed 60248 60624,
E100 628 E100 632 Paleocene100 55 181.64 285.58 240.87 227.93 condensed 60144 60520,
E100 627 E100 631 Paleocene100 56 180.92 284.80 240.46 227.6 condensed 561.54 60040 60416,
E100 626 E100 630 Paleocene100 57 180.06 284.01 239.84 condensed 560.72 59944 60324,
E100 625 E100 629 Paleocene100 58 179.28 239.16 condensed 559.92 59860 60248,
E100 624 E100 628 Paleocene100 59 178.48 282.55 238.78 225.99 condensed 559.08 59760 60144,
E100 623 E100 627 Paleocene100 60 177.78 281.76 238.36 225.65 condensed 558.22 59656 60040,
E100 622 E100 626 Paleocene100 61 177.00 280.88 237.83 condensed 557.2 59556 59944,
E100 621 E100 625 Paleocene100 62 176.10 280.02 237.32 224.87 condensed 556.36 59400 59860,
E100 620 E100 624 Paleocene100 63 175.41 279.41 224.59 condensed 555.74 59320 59760,
E100 619 E100 623 Paleocene100 64 175.01 279.05 236.49 224.27 condensed 555.1 59220 59656,
E100 618 E100 622 Paleocene100 65 174.53 278.62 235.95 condensed 554.22 59124 59556,
E100 617 E100 621 Paleocene100 66 174.07 missing 235.37 condensed condensed 553.04 59028 59400,
E100 616 E100 620 Paleocene100 67 173.60 277.76 235.021 223.49 137.39 552.14 58928 59320,ELPE
E100 615 E100 619 Paleocene100 68 173.15 277.13 condensed condensed condensed 550.86 58832 59220,
E100 614 E100 618 Paleocene100 69 172.51 276.53 condensed condensed condensed 549.7 58732 59124,
E100 613 E100 617 Paleocene100 70 171.95 275.94 condensed condensed condensed 548.38 58644 59028,
E100 612 E100 616 Paleocene100 71 171.47 275.42 234 223.04 condensed 546.9 58544 58928,
E100 611 E100 615 Paleocene100 72 170.75 274.62 condensed 545.3 58440 58832,
E100 610 E100 614 Paleocene100 73 170.08 273.39 condensed 544.08 58344 58732,
E100 609 E100 613 Paleocene100 74 169.48 272.26 232.56 221.84 136.58 542.84 58264 58644,
E100 608 E100 612 Paleocene100 75 168.68 270.56 231.863 221.24 136.28 541.54 58152 58544,
E100 607 E100 611 Paleocene100 76 167.94 269.04 231.2 220.64 540.38 58044 58440,
E100 606 E100 610 Paleocene100 77 167.24 268.25 230.9 220.36 539.04 57940 58344,
E100 605 E100 609 Paleocene100 78 166.58 230.45 219.93 537.26 57836 58264,
E100 604 E100 608 Paleocene100 79 165.82 265.87 230.083 219.58 135.27 536.26 57728 58152,
For 1262 and 1267 the following from Westerhold et al. in press,
E100 603 E100 607 Paleocene100 80 164.50 263.77 229.33 218.83 134.64 535.26 57640 58044,
E100 602 E100 606 Paleocene100 81 163.23 228.86 218.36 134.24 534.54 57540 57940,
E100 601 E100 605 Paleocene100 82 162.28 228.29 217.79 133.76 533.64 57440 57836,
E100 600 E100 604 Paleocene100 83 161.14 259.61 227.57 217.07 133.16 532.54 57332 57728,
E100 599 E100 603 Paleocene100 84 159.82 257.69 226.8 216.35 132.7 531.42 57224 57640,
E100 598 E100 602 Paleocene100 85 158.85 256.36 226.12 530.34 57120 57540,
E100 597 E100 601 Paleocene100 86 158.00 225.18 529.48 57028 57440,
E100 596 E100 600 Paleocene100 87 157.10 253.74 224.68 214.55 131.43 528.36 56924 57332,
E100 595 E100 599 Paleocene100 88 155.59 251.41 224.02 213.84 130.93 527.08 56824 57224,
E100 594 E100 598 Paleocene100 89 154.01 249.53 223.42 213.29 130.41 525.88 56720 57120,
E100 593 E100 597 Paleocene100 90 153.06 248.35 222.87 212.79 129.94 524.86 56636 57028,
E100 592 E100 596 Paleocene100 91 151.85 246.94 222.222 212.2 129.38 523.84 56540 56924,
E100 591 E100 595 Paleocene100 92 150.60 245.38 221.382 211.43 128.75 522.52 56436 56824,
E100 590 E100 594 Paleocene100 93 149.52 244.06 220.67 condensed condensed 521.1 56344 56720,
E100 589 E100 593 Paleocene100 94 148.30 242.49 condensed condensed condensed 519.56 56260 56636,
E100 588 E100 592 Paleocene100 95 147.13 241.06 condensed condensed condensed 518.32 56156 56540,
E100 587 E100 591 Paleocene100 96 145.94 239.45 condensed condensed condensed 517.04 56052 56436,
Table S8. Proposed position of short eccentricity cycle maxima in the depth domain of studied records. Eccentricity cycle numbers are relative to the K/Pg boundary (Paleocene) and to onset of the CIE at the PETM (Eocene).(For explanation see text),
E100 number for absolute age with respect to La2004 Cycle number Site 1262 Site 1267 Site 1209 Site 1210 Site 1211 Site 1051 Site 1050 Site 1001 Zumaiaabsolute age La2004,EVENT
Solution_1 Solution_2 short Eccentricity depth mcd depth rmcd depth rmcd depth rmcd depth rmcd depth rmcd depth rmcd depth rmcd depth in m Solution_1 Solution_2,EVENT
E100 586 E100 590 Paleocene100 97 144.60 237.42 condensed condensed condensed 515.72 55976 56344,
E100 585 E100 589 Paleocene100 98 143.10 235.44 219.141 209.06 condensed 514.8 55820 56260,
E100 584 E100 588 Paleocene100 99 141.95 233.94 218.581 208.52 126.87 513.5 55716 56156,
E100 583 E100 587 Paleocene100 100 140.84 232.62 218.221 207.94 condensed slump 55608 56052,
E100 582 E100 586 Paleocene100 101 140.12 231.76 218.001 207.49 126.47 slump 55504 55976,PETM (ETM-1)
E100 581 E100 585 Eocene100 1 55436 55820,
E100 580 E100 584 Eocene100 2 138.51 230.05 55336 55716,
E100 579 E100 583 Eocene100 3 137.20 228.57 55228 55608,
E100 578 E100 582 Eocene100 4 136.09 227.33 55128 55504,
E100 577 E100 581 Eocene100 5 135.04 226.13 55044 55436,
E100 576 E100 580 Eocene100 6 133.78 224.51 54952 55336,
E100 575 E100 579 Eocene100 7 132.34 222.81 54848 55228,
E100 574 E100 578 Eocene100 8 130.94 221.14 54744 55128,
E100 573 E100 577 Eocene100 9 54640 55044,
E100 572 E100 576 Eocene100 10 128.68 218.38 54572 54952,
E100 571 E100 575 Eocene100 11 127.38 216.80 54468 54848,
E100 570 E100 574 Eocene100 12 125.91 215.03 54364 54744,
E100 569 E100 573 Eocene100 13 124.42 213.22 54264 54640,
E100 568 E100 572 Eocene100 14 123.30 212.00 54180 54572,
E100 567 E100 571 Eocene100 15 121.96 210.55 54088 54468,
E100 566 E100 570 Eocene100 16 120.53 209.02 53984 54364,
E100 565 E100 569 Eocene100 17 119.15 207.50 53884 54264,
E100 564 E100 568 Eocene100 18 53800 54180,
E100 563 E100 567 Eocene100 19 117.13 205.11 212.55 210.62 53712 54088,Elmo (ETM-2)
E100 562 E100 566 Eocene100 20 116.12 203.87 53608 53984,
*TenKate & Sprenger 1993,
"# Dinarés-Turell et al. 2003",
