depth_mbsf,depth_ambsf,d13C
645.61,647.96,2.55
646.01,648.36,2.69
646.12,648.47,2.66
646.5,648.85,2.76
646.99,649.34,2.58
647.01,649.36,2.72
647.51,649.86,2.71
647.59,649.94,2.57
648.06,650.41,2.72
648.35,650.7,2.56
648.5,650.85,2.56
649.02,651.37,2.65
649.12,651.47,2.56
649.26,651.61,2.71
649.38,651.73,2.58
649.56,652.18,2.8
649.63,652.25,2.64
649.96,652.58,2.64
650.49,653.11,2.72
650.52,653.14,2.67
651.02,653.64,2.57
651.05,653.67,2.73
651.52,654.14,2.75
651.9,654.52,2.65
651.95,654.57,2.66
652.52,655.14,2.69
652.6,655.22,2.52
652.92,655.54,2.73
653.5,656.12,2.58
653.52,656.14,2.54
654.02,656.64,2.59
654.16,656.78,2.65
654.46,657.08,2.6
655.03,657.65,2.65
655.09,657.71,2.58
655.57,658.19,2.64
655.91,658.53,2.51
655.95,658.57,2.61
656.47,659.09,2.71
656.99,659.61,2.62
657.02,659.64,2.68
657.19,659.81,2.51
657.55,660.17,2.7
658,660.62,2.75
658.02,660.64,2.66
658.49,661.11,2.83
658.52,661.14,2.88
658.75,661.37,2.71
659.02,661.64,2.7
659.57,662.19,2.74
659.77,662.39,2.76
659.98,662.6,2.75
660.39,663.01,2.74
660.52,663.14,2.63
660.98,663.6,2.72
661.09,663.71,2.62
661.5,664.12,2.63
661.72,664.34,2.64
662.02,664.64,2.62
662.16,664.78,2.66
662.49,665.11,2.88
662.99,665.61,2.88
663.12,665.74,2.8
663.51,666.13,2.87
663.97,666.59,2.69
663.99,666.61,2.8
664.51,667.13,2.81
664.71,667.33,2.71
665.01,667.63,2.84
665.55,668.17,2.88
665.96,668.58,2.89
665.99,668.61,3.02
666.51,669.13,2.94
666.99,669.61,2.91
667.12,669.74,2.87
667.51,670.13,2.89
667.79,670.41,2.8
668.05,670.67,2.76
668.21,670.83,2.57
668.5,671.12,2.69
668.51,671.92,2.84
668.62,672.03,2.84
669.17,672.58,2.84
669.49,672.9,2.75
670.07,673.48,2.74
670.54,673.95,2.83
670.99,674.4,2.85
671.52,674.93,2.97
672,675.41,2.91
672.46,675.87,2.95
678,681.41,2.81
678.52,681.93,2.8
678.98,682.39,2.8
679.51,682.92,2.81
679.94,683.35,2.89
680.51,683.92,2.94
681.05,684.46,2.87
681.43,684.84,2.84
682.06,685.47,2.82
682.43,685.84,2.74
