Depth_m,FMI_ohm-m
2067.32703444072,5.97659375
2067.35751295337,4.965665
2067.38799146602,4.48362625
2067.41846997866,5.1979275
2067.44894849131,7.22213375
2067.47942700396,7.34464
2067.50990551661,4.3832
2067.54038402926,2.79617625
2067.57086254191,5.890735
2067.60134105456,5.41566
2067.6318195672,7.17971375
2067.66229807985,6.34418125
2067.6927765925,8.37192875
2067.72325510515,6.86982875
2067.7537336178,5.83317125
2067.78421213045,3.160565
2067.8146906431,3.159665
2067.84516915575,8.4616875
2067.87564766839,8.56916625
2067.90612618104,15.85196875
2067.93660469369,10.98141
2067.96708320634,8.06801
2067.99756171899,6.0178325
2068.02804023164,6.1610725
2068.05851874429,7.89902625
2068.08899725693,9.9421775
2068.11947576958,8.94850125
2068.14995428223,8.53613125
2068.18043279488,6.45458625
2068.21091130753,5.83975
2068.24138982018,7.142205
2068.27186833283,8.32356125
2068.30234684547,11.2106125
2068.33282535812,10.83018125
2068.36330387077,6.57958375
2068.39378238342,5.92238375
2068.42426089607,5.177895
2068.45473940872,6.36339125
2068.48521792137,6.3914975
2068.51569643401,12.039285
2068.54617494666,11.9786875
2068.57665345931,2.17484375
2068.60713197196,3.87319375
2068.63761048461,12.641245
2068.66808899726,12.44228125
2068.69856750991,8.4214925
2068.72904602255,5.70139625
2068.7595245352,5.26245875
2068.79000304785,6.83185625
2068.8204815605,9.79564875
2068.85096007315,10.7798175
2068.8814385858,8.74453125
2068.91191709845,8.2996125
2068.94239561109,4.22317
2068.97287412374,4.575405
2069.00335263639,6.6893275
2069.03383114904,6.94296875
2069.06430966169,8.0584575
2069.09478817434,9.33677875
2069.12526668699,6.98989125
2069.15574519963,9.37125125
2069.18622371228,5.55835125
2069.21670222493,9.23136125
2069.24718073758,6.80157875
2069.27765925023,6.7006475
2069.30813776288,5.62073
2069.33861627553,5.2396575
2069.36909478817,6.83186
2069.39957330082,7.98397375
2069.43005181347,7.39627
2069.46053032612,5.428475
2069.49100883877,3.785585
2069.52148735142,2.39193625
2069.55196586407,4.79411125
2069.58244437671,4.51800125
2069.61292288936,5.26597125
2069.64340140201,5.57936125
2069.67387991466,5.80553875
2069.70435842731,7.3476425
2069.73483693996,8.60410875
2069.76531545261,8.1797775
2069.79579396525,9.11428625
2069.8262724779,8.07768375
2069.85675099055,5.5647325
2069.8872295032,4.76875125
2069.91770801585,5.38258625
2069.9481865285,7.5210725
2069.97866504115,11.3608325
2070.00914355379,10.9118525
2070.03962206644,10.9148725
2070.07010057909,13.20698875
2070.10057909174,10.4815975
2070.13105760439,4.93295125
2070.16153611704,2.1324875
2070.19201462969,3.76349125
2070.22249314233,5.97707875
2070.25297165498,6.7450925
2070.28345016763,6.9731875
2070.31392868028,7.62220875
2070.34440719293,7.756775
2070.37488570558,7.09026
2070.40536421823,6.87914375
2070.43584273088,6.3247875
2070.46632124352,6.47034875
2070.49679975617,6.7856775
2070.52727826882,7.45158
2070.55775678147,9.57233375
2070.58823529412,8.35265375
2070.61871380677,7.11284625
2070.64919231942,7.864725
2070.67967083206,6.8121525
2070.71014934471,7.2519775
2070.74062785736,8.7427775
2070.77110637001,9.110185
2070.80158488266,10.280495
2070.83206339531,9.27753875
2070.86254190796,9.33680625
2070.8930204206,8.56887625
2070.92349893325,8.88352375
2070.9539774459,6.6951325
2070.98445595855,6.27775125
2071.0149344712,8.70307125
2071.04541298385,8.509695
2071.0758914965,10.36372125
2071.10637000914,7.80512
2071.13684852179,7.58842375
2071.16732703444,7.01871375
2071.19780554709,6.7668675
2071.22828405974,11.83928875
2071.25876257239,10.5998525
2071.28924108504,11.3069225
2071.31971959768,10.32342
2071.35019811033,9.51576875
2071.38067662298,9.2901325
2071.41115513563,8.16029125
2071.44163364828,6.8592125
2071.47211216093,11.48497875
2071.50259067358,13.88360375
2071.53306918622,10.981405
2071.56354769887,8.4135825
2071.59402621152,11.5007575
2071.62450472417,11.293405
2071.65498323682,4.53802625
2071.68546174947,5.04736875
2071.71594026212,12.63460375
2071.74641877476,4.6882875
2071.77689728741,4.7312025
2071.80737580006,7.20947125
2071.83785431271,3.2368175
2071.86833282536,1.999255
2071.89881133801,6.50883625
2071.92928985066,8.242005
2071.9597683633,10.24433
2071.99024687595,8.16182
2072.0207253886,5.63473875
2072.05120390125,4.21742625
2072.0816824139,1.9341425
2072.11216092655,2.804835
2072.1426394392,5.0936875
2072.17311795184,6.80014625
2072.20359646449,7.2571325
2072.23407497714,8.54254125
2072.26455348979,7.50411375
2072.29503200244,6.95928625
2072.32551051509,6.03816
2072.35598902774,5.6605475
2072.38646754038,6.07252
2072.41694605303,7.231985
2072.44742456568,8.776375
2072.47790307833,8.6255725
2072.50838159098,4.89247625
2072.53886010363,8.08668875
2072.56933861628,4.84830625
2072.59981712892,8.79106125
2072.63029564157,9.85125125
2072.66077415422,9.110525
2072.69125266687,11.6109475
2072.72173117952,9.02029375
2072.75220969217,10.5426425
2072.78268820482,8.8986625
2072.81316671746,8.53619375
2072.84364523011,10.29629
2072.87412374276,11.96212
2072.90460225541,17.1067275
2072.93508076806,14.749215
2072.96555928071,11.3985
2072.99603779336,15.6474175
2073.026516306,21.946785
2073.05699481865,28.2194525
2073.0874733313,23.65219375
2073.11795184395,8.3657875
2073.1484303566,11.66147625
2073.17890886925,14.25869375
2073.2093873819,5.8075
2073.23986589454,7.70647625
2073.27034440719,21.0979575
2073.30082291984,20.48962375
2073.33130143249,20.14592125
2073.36177994514,8.65061625
2073.39225845779,16.9937825
2073.42273697044,30.30857
2073.45321548308,19.8978475
2073.48369399573,6.83382625
2073.51417250838,26.309665
2073.54465102103,41.46340375
2073.57512953368,41.1823475
2073.60560804633,41.456355
2073.63608655898,42.69054375
2073.66656507162,42.78258625
2073.69704358427,42.4766625
2073.72752209692,41.5849725
2073.75800060957,42.3938225
2073.78847912222,31.4943425
2073.81895763487,10.22827625
2073.84943614752,40.19379875
2073.87991466016,36.95899375
2073.91039317281,11.490985
2073.94087168546,41.59934625
2073.97135019811,40.71124875
2074.00182871076,37.76879375
2074.03230722341,24.02397875
2074.06278573606,11.781955
2074.0932642487,33.03482875
2074.12374276135,43.08144625
2074.154221274,44.46817
2074.18469978665,44.30127
2074.2151782993,42.46656375
2074.24565681195,39.90208
2074.2761353246,33.78375
2074.30661383724,37.45805625
2074.33709234989,42.44164875
2074.36757086254,44.91757375
2074.39804937519,26.71857
2074.42852788784,30.3794975
2074.45900640049,42.4184875
2074.48948491314,43.27856375
2074.51996342578,41.84481125
2074.55044193843,35.07664125
2074.58092045108,12.10935
2074.61139896373,35.02094875
2074.64187747638,42.61735375
2074.67235598903,43.50019375
2074.70283450168,44.210885
2074.73331301432,44.61912625
2074.76379152697,33.4552075
2074.79427003962,44.628875
2074.82474855227,46.86669125
2074.85522706492,48.8880875
2074.88570557757,47.58404625
2074.91618409022,47.75999875
2074.94666260286,44.910985
2074.97714111551,11.17694125
2075.00761962816,43.83966375
2075.03809814081,47.83055625
2075.06857665346,49.52818625
2075.09905516611,45.49126
2075.12953367876,10.818165
2075.16001219141,21.23470625
2075.19049070405,50.11489375
2075.2209692167,49.45210625
2075.25144772935,48.07514375
2075.281926242,36.7578625
2075.31240475465,10.5824225
2075.3428832673,38.785885
2075.37336177995,39.16184625
2075.40384029259,27.24622
2075.43431880524,46.794985
2075.46479731789,50.08554625
2075.49527583054,33.15227125
2075.52575434319,11.97658625
2075.55623285584,31.3854175
2075.58671136849,39.18191875
2075.61718988113,51.94922375
2075.64766839378,54.01680375
2075.67814690643,52.7917625
2075.70862541908,55.39916875
2075.73910393173,55.83094875
2075.76958244438,55.0284975
2075.80006095703,55.699405
2075.83053946967,49.44806375
2075.86101798232,12.63082875
2075.89149649497,31.4918575
2075.92197500762,45.42985875
2075.95245352027,43.7228725
2075.98293203292,39.43289
2076.01341054557,38.54120875
2076.04388905821,34.26478625
2076.07436757086,14.38739125
2076.10484608351,35.1252975
2076.13532459616,28.0593475
2076.16580310881,26.9604725
2076.19628162146,33.422375
2076.22676013411,46.7075675
2076.25723864675,19.144875
2076.2877171594,52.145135
2076.31819567205,47.87077375
2076.3486741847,56.11234375
2076.37915269735,56.58454375
2076.40963121,57.745905
2076.44010972265,58.69395625
2076.47058823529,58.4129975
2076.50106674794,55.65485
2076.53154526059,45.57233625
2076.56202377324,24.26428125
2076.59250228589,12.41114875
2076.62298079854,48.9468275
2076.65345931119,51.17397875
2076.68393782383,36.62869125
2076.71441633648,55.20801375
2076.74489484913,53.4443925
2076.77537336178,47.58101
2076.80585187443,16.07376625
2076.83633038708,57.269055
2076.86680889973,58.792015
2076.89728741237,60.4718075
2076.92776592502,58.08895125
2076.95824443767,53.469335
2076.98872295032,9.44920375
2077.01920146297,59.62937
2077.04967997562,60.0200275
2077.08015848827,58.827275
2077.11063700091,56.35768125
2077.14111551356,16.9793425
2077.17159402621,12.8812475
2077.20207253886,56.225315
2077.23255105151,44.46065
2077.26302956416,61.00206375
2077.29350807681,64.20287125
2077.32398658945,64.2300075
2077.3544651021,63.26255375
2077.38494361475,64.304405
2077.4154221274,64.10793125
2077.44590064005,65.07876875
2077.4763791527,63.6261025
2077.50685766535,64.4604525
2077.53733617799,62.965985
2077.56781469064,62.00044375
2077.59829320329,38.7917375
2077.62877171594,60.00853125
