proxy,site,sol,date,roll,window,RMSD,depth,age_floating,age_slider,kpg_age,age,value,long_ecc_filter,short_ecc_filter,comb_ecc_filter,ecc_sln
Lstar,Zumaia,La10b,2024-03-27,10000000000,taner,1.0609651277690997,0.04875,41.733984375000006,6,65900,65947.733984375,2.548511871298183,0.1419215177009186,0.07944694624750921,-1.2381243859565205,-1.1059984664108027
Lstar,Zumaia,La10b,2024-03-27,10000000000,taner,1.0609651277690997,0.16726851851851854,44.733984375000006,6,65900,65950.733984375,2.48946474190806,0.13651375959083262,0.1154965329471724,-1.3351265813014055,-1.2225401694077762
Lstar,Zumaia,La10b,2024-03-27,10000000000,taner,1.0609651277690997,0.28578703703703706,47.733984375000006,6,65900,65953.733984375,2.4254729918868625,0.13071936495313252,0.14811155184267794,-1.4177213155150121,-1.349811907715572
Lstar,Zumaia,La10b,2024-03-27,10000000000,taner,1.0609651277690997,0.4043055555555556,50.733984375000006,6,65900,65956.733984375,2.0549899311364124,0.12454995468689369,0.17631345116289088,-1.4825012574512084,-1.480044574156333
Lstar,Zumaia,La10b,2024-03-27,10000000000,taner,1.0609651277690997,0.5228240740740742,53.733984375000006,6,65900,65959.733984375,0.5339343952942937,0.1180181371580749,0.19924397388109455,-1.5264917828343187,-1.6045077295708958
Lstar,Zumaia,La10b,2024-03-27,10000000000,taner,1.0609651277690997,0.6413425925925927,56.733984375000006,6,65900,65962.733984375,0.27650493993235725,0.11113748105344855,0.21619396525497725,-1.5472530865907523,-1.7121659007622407
Lstar,Zumaia,La10b,2024-03-27,10000000000,taner,1.0609651277690997,0.7598611111111112,59.733984375000006,6,65900,65965.733984375,0.0475055077071008,0.10392248560408869,0.22662793074622323,-1.5429671938056653,-1.7760695111724043
Lstar,Zumaia,La10b,2024-03-27,10000000000,taner,1.0609651277690997,0.8783796296296297,62.733984375000006,6,65900,65968.733984375,0.6549296450068407,0.09638854824736197,0.2302034357521759,-1.5125066442515553,-1.773385511292377
Lstar,Zumaia,La10b,2024-03-27,10000000000,taner,1.0609651277690997,0.9968981481481485,65.733984375,6,65900,65971.733984375,0.17205425507340377,0.08855192980363157,0.22678459134661522,-1.4554821677971341,-1.7048973049134184
Lstar,Zumaia,La10b,2024-03-27,10000000000,taner,1.0609651277690997,1.1154166666666667,68.733984375,6,65900,65974.733984375,1.2149321673913576,0.08042971725096534,0.21644905331810033,-1.3722673180265903,-1.5999059159755264
Lstar,Zumaia,La10b,2024-03-27,10000000000,taner,1.0609651277690997,1.2339351851851852,71.733984375,6,65900,65977.733984375,0.35081404130270494,0.07203978418800966,0.19948816960663013,-1.2639987691799919,-1.4780563386321985
Lstar,Zumaia,La10b,2024-03-27,10000000000,taner,1.0609651277690997,1.3524537037037039,74.733984375,6,65900,65980.733984375,0.3372364840696492,0.06340074908182629,0.17640013710519448,-1.1325517833955128,-1.351192101536454
