depth,magsus,reflec,d13C_VPDB,comment
1374.875,9.1,48.98135,1.5921057999999988,NA
1384.125,11.4,49.867375,NA,NA
1393.375,10.6,47.23715,NA,NA
1402.5,9.6,47.09625,1.3623563000000019,NA
1411.5,8.5,48.92195,NA,NA
1420.9,10.7,52.88235,NA,NA
1430.7,10.5,46.84805,NA,NA
1440.5,8.7,47.72255,1.3786611000000022,NA
1450.3,14.4,48.3918,NA,NA
1460.1,10.4,47.12385,NA,NA
1469.5,10.8,45.20325,1.3887943000000007,NA
1478.5,8.2,46.484,NA,NA
1488,11.8,48.047067,NA,NA
1498,12.1,48.43605,NA,NA
1508,12.2,49.69055,1.4427879000000061,NA
1518,13.9,47.5543,NA,NA
1528,9.9,48.27845,NA,NA
1538,7.3,47.0005,1.4942267000000058,NA
1548,7.5,42.88405,NA,NA
1558,7.1,50.5372,NA,NA
1568,9,46.6483,1.1657856000000066,NA
1578,10.2,53.7903,NA,NA
1587.143,8.9,45.2812,NA,NA
1595.429,6.8,45.0389,0.9921615999999958,NA
1603.714,10.3,52.5205,NA,NA
1612,9.3,47.9074,NA,NA
1620.286,8.4,53.7195,1.349473500000002,NA
1628.571,10.3,53.6642,NA,NA
1636.857,11.9,50.4582,NA,NA
1646.5,8.1,46.6069,0.8791196000000028,NA
1657.5,9.8,52.9044,NA,NA
1668.5,9.4,51.4756,NA,NA
1679.5,11.4,50.2743,NA,NA
1690.5,13.6,46.4251,1.3254875000000013,NA
1701.5,10.1,49.5655,NA,NA
1712.5,11.1,53.9159,NA,NA
1723.5,9.4,51.7899,NA,NA
1734.313,11.8,50.9397,NA,NA
1744.938,11.6,51.3174,1.1016888999999992,NA
1755.563,10.3,49.5807,NA,NA
1766.188,6.8,54.3958,NA,NA
1776.813,9.2,51.3337,NA,NA
1787.438,12.1,48.9636,0.7935808329999978,NA
1798.063,10.8,49.6697,NA,NA
1808.688,11.4,46.0784,NA,NA
1820.563,7.1,49.194,NA,NA
1833.688,10,54.3562,0.8779871999999997,NA
1846.813,9,48.9993,NA,NA
1859.938,8.2,48.8565,NA,NA
1873.063,11.4,44.3794,NA,NA
